Team,Total_bets_placed,Profit_Loss,Average_profit_loss
Arsenal,170,-247,-1.45
Aston Villa,104,-1044,-10.04
Birmingham,36,-280.99999999999994,-7.81
Blackburn,57,-216,-3.79
Blackpool,15,40.00000000000003,2.67
Bolton,55,-373.99999999999994,-6.8
Bournemouth,49,320,6.53
Brighton,19,256,13.47
Burnley,75,2613,34.84
Cardiff,18,118,6.56
Chelsea,165,388,2.35
Crystal Palace,77,2005,26.04
Everton,156,3343,21.43
Fulham,90,310,3.44
Huddersfield,17,786,46.24
Hull,77,793,10.3
Leicester,72,1417,19.68
Liverpool,160,-216,-1.35
Man City,168,1407,8.38
Man United,164,1755,10.7
Middlesbrough,15,-627,-41.8
Newcastle,131,1840,14.05
Norwich,74,-105.99999999999989,-1.43
Portsmouth,18,-363,-20.17
QPR,57,-766,-13.44
Reading,19,-629,-33.11
Sheffield United,0,0,
Southampton,95,34,0.36
Stoke,158,2797,17.7
Sunderland,129,588,4.56
Swansea,124,1558,12.56
Tottenham,157,2941,18.73
Watford,57,390,6.84
West Brom,126,1262.9999999999998,10.02
West Ham,138,2150,15.58
Wigan,63,446,7.08
Wolves,49,435,8.88